"name","mbid","streamable","artist_name","artist_mbid","album_name","album_mbid","url","image_small","image_medium","image_large","image_extra","date"
"Dead Girl Superstar","c85e319e-26fc-4336-b86a-be9c38c95b13","0","Rob Zombie","c995a379-60b9-404b-bd97-a7e2de0751d3","","","https://www.last.fm/music/Rob+Zombie/_/Dead+Girl+Superstar","","","","","1108290025"
"Two-Lane Blacktop","7547bb03-1b5c-4ae2-a8d4-d75bc2e603aa","0","Rob Zombie","c995a379-60b9-404b-bd97-a7e2de0751d3","","","https://www.last.fm/music/Rob+Zombie/_/Two-Lane+Blacktop","","","","","1108290025"
"Shazam!","","0","Beastie Boys","","","","https://www.last.fm/music/Beastie+Boys/_/Shazam%21","","","","","1108290024"
"Leave It Alone","8c2cb16d-1afe-4c29-8dd8-7cb7b6352bb4","0","NOFX","dcaa4f81-bfb7-44eb-8594-4e74f004b6e4","","","https://www.last.fm/music/NOFX/_/Leave+It+Alone","","","","","1108290024"
"Dead Girl Superstar","c85e319e-26fc-4336-b86a-be9c38c95b13","0","Rob Zombie","c995a379-60b9-404b-bd97-a7e2de0751d3","","","https://www.last.fm/music/Rob+Zombie/_/Dead+Girl+Superstar","","","","","1108290024"
"Two-Lane Blacktop","7547bb03-1b5c-4ae2-a8d4-d75bc2e603aa","0","Rob Zombie","c995a379-60b9-404b-bd97-a7e2de0751d3","","","https://www.last.fm/music/Rob+Zombie/_/Two-Lane+Blacktop","","","","","1108290024"
"Shazam!","","0","Beastie Boys","","","","https://www.last.fm/music/Beastie+Boys/_/Shazam%21","","","","","1108290023"
"Leave It Alone","8c2cb16d-1afe-4c29-8dd8-7cb7b6352bb4","0","NOFX","dcaa4f81-bfb7-44eb-8594-4e74f004b6e4","","","https://www.last.fm/music/NOFX/_/Leave+It+Alone","","","","","1108290023"
"Dead Girl Superstar","c85e319e-26fc-4336-b86a-be9c38c95b13","0","Rob Zombie","c995a379-60b9-404b-bd97-a7e2de0751d3","","","https://www.last.fm/music/Rob+Zombie/_/Dead+Girl+Superstar","","","","","1108290023"
"Two-Lane Blacktop","7547bb03-1b5c-4ae2-a8d4-d75bc2e603aa","0","Rob Zombie","c995a379-60b9-404b-bd97-a7e2de0751d3","","","https://www.last.fm/music/Rob+Zombie/_/Two-Lane+Blacktop","","","","","1108290023"
"Fuck Religion","","0","Propagandhi","cc546218-cc08-4ae9-9592-ac1596c1470d","","","https://www.last.fm/music/Propagandhi/_/Fuck+Religion","","","","","1108290023"
"Shazam!","","0","Beastie Boys","","","","https://www.last.fm/music/Beastie+Boys/_/Shazam%21","","","","","1108290022"
"Leave It Alone","8c2cb16d-1afe-4c29-8dd8-7cb7b6352bb4","0","NOFX","dcaa4f81-bfb7-44eb-8594-4e74f004b6e4","","","https://www.last.fm/music/NOFX/_/Leave+It+Alone","","","","","1108290022"
"Dead Girl Superstar","c85e319e-26fc-4336-b86a-be9c38c95b13","0","Rob Zombie","c995a379-60b9-404b-bd97-a7e2de0751d3","","","https://www.last.fm/music/Rob+Zombie/_/Dead+Girl+Superstar","","","","","1108290022"
"Two-Lane Blacktop","7547bb03-1b5c-4ae2-a8d4-d75bc2e603aa","0","Rob Zombie","c995a379-60b9-404b-bd97-a7e2de0751d3","","","https://www.last.fm/music/Rob+Zombie/_/Two-Lane+Blacktop","","","","","1108290022"
"Réjean - Radio-Canada","","0","Jean-Claude Gélinas","","","","https://www.last.fm/music/Jean-Claude+G%C3%A9linas/_/R%C3%A9jean+-+Radio-Canada","","","","","1108290022"
"Can't WaIt One Minute More","8d6a5922-d7ff-4ee8-9e44-ad943d4218df","0","CIV","1649c891-eea0-45b2-8caf-c85d985ff3bd","","","https://www.last.fm/music/CIV/_/Can%27t+WaIt+One+Minute+More","","","","","1108290022"
"Fuck Religion","","0","Propagandhi","cc546218-cc08-4ae9-9592-ac1596c1470d","","","https://www.last.fm/music/Propagandhi/_/Fuck+Religion","","","","","1108290022"
"Shazam!","","0","Beastie Boys","","","","https://www.last.fm/music/Beastie+Boys/_/Shazam%21","","","","","1108290021"
"Leave It Alone","8c2cb16d-1afe-4c29-8dd8-7cb7b6352bb4","0","NOFX","dcaa4f81-bfb7-44eb-8594-4e74f004b6e4","","","https://www.last.fm/music/NOFX/_/Leave+It+Alone","","","","","1108290021"
"Dead Girl Superstar","c85e319e-26fc-4336-b86a-be9c38c95b13","0","Rob Zombie","c995a379-60b9-404b-bd97-a7e2de0751d3","","","https://www.last.fm/music/Rob+Zombie/_/Dead+Girl+Superstar","","","","","1108290021"
"Two-Lane Blacktop","7547bb03-1b5c-4ae2-a8d4-d75bc2e603aa","0","Rob Zombie","c995a379-60b9-404b-bd97-a7e2de0751d3","","","https://www.last.fm/music/Rob+Zombie/_/Two-Lane+Blacktop","","","","","1108290021"
"Réjean - Radio-Canada","","0","Jean-Claude Gélinas","","","","https://www.last.fm/music/Jean-Claude+G%C3%A9linas/_/R%C3%A9jean+-+Radio-Canada","","","","","1108290021"
"Can't WaIt One Minute More","8d6a5922-d7ff-4ee8-9e44-ad943d4218df","0","CIV","1649c891-eea0-45b2-8caf-c85d985ff3bd","","","https://www.last.fm/music/CIV/_/Can%27t+WaIt+One+Minute+More","","","","","1108290021"
"Fuck Religion","","0","Propagandhi","cc546218-cc08-4ae9-9592-ac1596c1470d","","","https://www.last.fm/music/Propagandhi/_/Fuck+Religion","","","","","1108290021"
"Not Listening","a1af10f5-5411-49d7-abb9-f44a828c77d5","0","Papa Roach","c5eb9407-caeb-4303-b383-6929aa94021c","","","https://www.last.fm/music/Papa+Roach/_/Not+Listening","","","","","1108290021"
"Shazam!","","0","Beastie Boys","","","","https://www.last.fm/music/Beastie+Boys/_/Shazam%21","","","","","1108290020"
